Sunday,
Breakfast (8:00-8:30AM),4 Idli + Sambar 1/2 cup/ 1 table spoon Green chutney/ Tomato Chutney
Mid-Meal (11:00-11:30AM),green gram sprouts 1 cup
Lunch (2:00-2:30PM),3 Roti+1/2 cup salad + Fish curry ( 100 gm fish)+ 1/2 cup cabbage subji.
Evening (4:00-4:30PM),"1 Portion fruit(Avoid high energy fruits. Eg: Banana, Jack fruit,Mango, Chikku.)"
Dinner (8:00-8:30PM),2 Roti / chappati.+ Tomato subji 1/2 cup.
Monday,
Breakfast (8:00-8:30AM),2 Slice brown bread.+1 slice low fat cheese+1Boiled egg+ 1/2 cup low fat milk.
Mid-Meal (11:00-11:30AM),"1 Portion fruit(Avoid high energy fruits. Eg: Banana, Jack fruit,Mango, Chikku.)"
Lunch (2:00-2:30PM),Veg pulav rice 1 cup+ 1/2 cup Soya Chunk curry+ 1/2 cup Low fat curd.
Evening (4:00-4:30PM),1 cup light tea+ 2 wheat rusk.
Dinner (8:00-8:30PM),2 roti/ Chapathi+ Ladies finger subji 1/2 cup.
Tuesday,
Breakfast (8:00-8:30AM),Chappati 3 + 1/2 cup Potato green peas curry.
Mid-Meal (11:00-11:30AM),1/2 cup boilled black channa
Lunch (2:00-2:30PM),1 cup rice+ 1/2 cup Dhal+ Palak subji 1/2 cup+ 1/2 cup low fat curd.
Evening (4:00-4:30PM),"1 Portion fruit(Avoid high energy fruits. Eg: Banana, Jack fruit,Mango, Chikku.)"
Dinner (8:00-8:30PM),Broken wheat upma 1 cup+ 1/2 cup green beans subji
Wednesday,
Breakfast (8:00-8:30AM),Methi Parata 2+ 1 tbs green chutney.
Mid-Meal (11:00-11:30AM),"1 Portion fruit(Avoid high energy fruits. Eg: Banana, Jack fruit,Mango, Chikku.)"
Lunch (2:00-2:30PM),1 cup rice+ chicken curry( 150 gm chicken+ 1 cup cucumber salad.
Evening (4:00-4:30PM),1 Cup light tea+ Brown rice flakes poha 1 cup.
Dinner (8:00-8:30PM),Wheat dosa 3 + 1/2 cup Bitter guard subji.
Thursday,
Breakfast (8:00-8:30AM),Vegetable Oats Upma 1 cup+ 1/2 cup low fat milk.
Mid-Meal (11:00-11:30AM),Plain Yoghurt with raw vegetables / grilled vegetables -1 cup
Lunch (2:00-2:30PM),1/2 cup rice + 2 medium chappati+1/2 cup Kidney beans curry+ Snake guard subji 1/2 cup.
Evening (4:00-4:30PM),1 cup boilled channa+ light tea 1 cup.
Dinner (8:00-8:30PM),2 Roti/ chapati+ 1/2 cup mix veg curry
Friday,
Breakfast (8:00-8:30AM),Mix veg Poha 1 cup+ 1/2 cup low fat milk.
Mid-Meal (11:00-11:30AM),"1 Portion fruit(Avoid high energy fruits. Eg: Banana, Jack fruit,Mango, Chikku.)"
Lunch (2:00-2:30PM),3 Chappati+ 1/2 cup cluster beans subji+ Fish curry(100g fish) 1/2 cup.
Evening (4:00-4:30PM),1 cup tea+ + 2 biscuits ( Nutrichoice or Digestiva or Oatmeal.)
Dinner (8:00-8:30PM),2 Roti / chappathi+Ridge guard subji 1/2 cup.
Saturday,
Breakfast (8:00-8:30AM),Utappam 2+ 1 tbs green chutney.
Mid-Meal (11:00-11:30AM),1 cup boilled channa
Lunch (2:00-2:30PM),1 cup rice+ Soya chunk curry1/2 cup+ Ladies finger subji 1/2 cup+ small cup low fat curd.
Evening (4:00-4:30PM),"1 Portion fruit(Avoid high energy fruits. Eg: Banana, Jack fruit,Mango, Chikku.)"
Dinner (8:00-8:30PM),Broken wheat upma 1 cup+ 1/2 cup green beans subji
